sample_name,team_site_location_id,sampleID,,collection_timestamp,hh:mm,latitude,longitude,geo_loc_name,county,place name,"city, nearest town","environmental feature (habitat) original, i.e. as described in the logsheet",environmental feature (habitat) curated,Elevation (meters),current land use,land use curated (according to EMP 500 Soil),"plant type/species (original entry, i.e. as described on logsheets)",plant species (curated) ,Vegetation Zone,soil temperature (°C),soil moisture (%),soil lab: % moisture,Soil Weight g  (DNA kit) ,DNA (ug/mL),DNA (ug/mL),10/12: DNA (μg/mL),soil_type,Litter type,Litter depth (approximation (cm),pH,pH_corrected,mg-C / kg of soil (method DOI:10.1080/00103629309368926),mg-N / kg of soil (method DOI: 10.1080/00103629309368926)
isd_9_site_2_loc_1_repl_2_DNA,isd_9_site_2_loc_1,133,2016-06-15T12:57,15/06/2016,12:57,35.24104,24.77812,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero (up),Lakos of Migero,alpine,scrubland;,1583,-,shrub land,-,,mountainous,-,1,5.7888,0.2598,19.7,,,sandy clay,-,0 - 10,7,7,32.9,2.8
isd_9_site_2_loc_2_repl_2_DNA,isd_9_site_2_loc_2,134,2016-06-15T13:20,15/06/2016,13:20,35.24104,24.77812,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero (up),Lakos of Migero,alpine,scrubland;,1583,-,shrub land,-,,mountainous,-,1,7.3968,0.2522,20.3,,,sandy clay,-,0 - 10,7,7,29.9,2.6
isd_9_site_3_loc_1_repl_2_DNA,isd_9_site_3_loc_1,135,2016-06-15T14:50,15/06/2016,14:50,35.24206,24.79026,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero (up),Lakos of Migero,alpine,scrubland; sub alpine;  dwarf shrubs,1733,-,shrub land,-,,mountainous,-,1,11.3935,0.2485,16.1,,,sandy clay,-,0 - 10,7,7,95.2,7.1
isd_9_site_3_loc_2_repl_2_DNA,isd_9_site_3_loc_2,136,2016-06-15T15:15,15/06/2016,15:15,35.24206,24.79026,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero (up),Lakos of Migero,alpine,scrubland; sub alpine;  dwarf shrubs,1733,-,shrub land,-,,mountainous,-,1,10.9915,0.2522,25.2,,,sandy clay,-,0 - 10,7,7,67.1,5.4
isd_9_site_4_loc_1_repl_2_DNA,isd_9_site_4_loc_1,137,2016-06-15T16:20,15/06/2016,16:20,35.24156,24.78524,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero,Lakos of Migero,alpine,scrubland; subalpine;  dwarf shrubs,1609,-,shrub land,-,,mountainous,-,-,11.2439,0.255,17.4,,,sandy clay,-,-,-,NA,69.4,5.7
isd_9_site_4_loc_2_repl_2_DNA,isd_9_site_4_loc_2,138,2016-06-15T17:00,15/06/2016,17:00,35.24156,24.78524,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero,Lakos of Migero,alpine,scrubland; subalpine; dwarf shrubs,1609,-,shrub land,-,,mountainous,-,-,11.6752,0.2535,9.14,,,sandy clay,-,-,-,NA,33.3,3
isd_9_site_5_loc_1_repl_2_DNA,isd_9_site_5_loc_1,139,2016-06-15T17:39,15/06/2016,17:39,35.2412,24.78002,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero,Lakos of Migero,alpine,scrubland;,1574,-,shrub land,Lolium perrene,Lolium perrene,mountainous,-,1,10.3738,0.2505,26.1,,,sandy clay,-,-,7,7,47.6,4.3
isd_9_site_5_loc_2_repl_2_DNA,isd_9_site_5_loc_2,140,2016-06-15T18:20,15/06/2016,18:20,35.2412,24.78002,"Greece: Crete, Rethimno",Rethimno,Lakos of Migero,Lakos of Migero,alpine,scrubland;,1574,-,shrub land,Lolium perrene,Lolium perrene,mountainous,-,1,11.0269,0.2595,13.4,,,sandy clay,-,-,7,7,49.6,4.3
isd_10_site_1_loc_1_repl_2_DNA,isd_10_site_1_loc_1,141,6/15/16,15/06/2016,-,35.048473,26.237491,"Greece: Crete, Lassithi",Lassithi,"Alatsolimni (""saltlake"")","Xerokampos (""dryvalley"")",-,saline evaporation pond,1,-,salt flat,-,,coastal and littoral,<40,10,21.3336,0.2598,<0.010,,,sandy,salt,0.5,3.5,3.5,66.6,0.2
isd_10_site_1_loc_2_repl_2_DNA,isd_10_site_1_loc_2,142,6/15/16,15/06/2016,-,35.048473,26.237491,"Greece: Crete, Lassithi",Lassithi,Alatsolimni,Xerokampos,-,saline evaporation pond,1,-,salt flat,-,,coastal and littoral,<40,10,17.6319,0.2498,<0.010,,,sandy,salt,0.5,5,5,60.6,0.2
isd_10_site_2_loc_1_repl_2_DNA,isd_10_site_2_loc_1,143,6/15/16,15/06/2016,-,35.058,26.2422778,"Greece: Crete, Lassithi",Lassithi,Katsounaki,Xerokampos,-,beach,5,-,sand,sand,Pancratium maritimum,coastal and littoral,<40,1,0.1375,0.249,6.12,,,sandy,-,-,7,7,81.4,0
isd_10_site_2_loc_2_repl_2_DNA,isd_10_site_2_loc_2,144,6/15/16,15/06/2016,-,35.058,26.24227778,"Greece: Crete, Lassithi",Lassithi,Katsounaki,Xerokampos,-,beach,5,-,sand,sand,Pancratium maritimum,coastal and littoral,<40,1,0.1373,0.2529,<0.010,,,sandy,-,-,7,7,83.9,0
